,Standard Deviation,Mean,Peak-to-Peak,No of Peaks
84,0.29353723318427827,0.0016457431584848724,1.6345292304545924,[48 59 80]
85,0.33072989673624303,0.0012512782799667694,1.8007043373225726,[59 85]
86,0.277207764327259,0.0012925182879570734,1.559482372976881,[47 56 80]
87,0.29938299503633287,0.0013591324017925082,1.6065172110324704,[48 58 81]
88,0.32865000387057275,0.001234626216444985,1.9241575252386887,[56 82]
89,0.29408070848381346,0.0009165948620591805,1.5958993979991432,[59 85]
90,0.34782622716487555,0.0012218943354830388,1.8488752904421377,[59 85]
91,0.2862589922045338,0.000348561400487585,1.540816861439592,[59 84]
92,0.25899710979199336,0.0012895232848602767,1.4943884476665725,[55 75]
93,0.2941752949313902,0.0009584099335657688,1.7212755663339538,[55 81]
94,0.2976304794871526,0.0009399745815911732,1.7305270485701114,[55 82]
95,0.30725110246760867,0.0010406566752887152,1.8041624708468422,[55 81]
96,0.30618588278257924,0.0007276387264824778,1.6403107344111958,[27 55 78]
97,0.34138782256689726,0.00046821609517597217,1.96191401680011,[59 82]
98,0.2990872442082005,0.0009735914991588655,1.753924960095076,[56 85]
99,0.30762144323837015,0.0016875618022535678,1.7444328603254493,[49 59 81]
100,0.3088531849921164,0.0010122161976314856,1.7759829572841999,[55 81]
101,0.2978754075404287,0.001029748683623526,1.7347519093381158,[55 78]
102,0.2895296792292905,0.001514624988131649,1.508555954174493,[56 84]
103,0.29267705319519594,0.0017153403419823971,1.6422767704858852,[49 59 80]
104,0.3160895036010722,0.0013577188483752715,1.7877853834493562,[59 81]
105,0.2651093077781559,0.0007919618145575694,1.5392779123709692,[55 75]
106,0.26797575789520306,0.0010885538554863535,1.5092626191721354,[56 81]
107,0.33533341075065753,0.0013482842106848252,1.9332499585033909,[56 80]
108,0.30855696315293446,0.0010289346735213774,1.7346592769338756,[56 84]
109,0.341917609558194,0.0012724994482560708,1.9099753885058224,[49 59 84]
110,0.32380347002374293,0.0014971583523667818,1.8995894363564925,[59 82]
111,0.336110658026841,0.0012478372483662136,1.86860891645845,[56 82]
112,0.289302530490017,0.0003275384722380448,1.6179133934038084,[59 85]
113,0.311158326032479,0.0013526200197831512,1.820376364805298,[56 80]
114,0.3398716245760459,0.0013462354039086508,1.9197085452931604,[59 82]
115,0.33193210390258926,0.0005885425502517189,1.8801320755410686,[59 82]
116,0.31372817527449137,0.0014845793441297754,1.7922972739955676,[49 59 82]
117,0.25407148237263016,0.0009892228544792353,1.488747486099224,[55 81]
118,0.3054800083096864,0.0009877969858527401,1.6952781707873292,[59 85]
119,0.30966263286570006,0.0010215378110607094,1.8389858367375598,[55 78]
120,0.3368521517320326,0.000543083714062049,1.902019916807447,[59 82]
121,0.2690702783973418,0.0012958081647159486,1.5241270705002423,[56 80]
122,0.3268164033348597,0.0011666809566758484,1.9183313157694597,[59 82]
123,0.30874449764397327,0.0010291671973195772,1.8033707515919488,[55 81]
124,0.2914972814396957,0.0009113135058085994,1.6772499119326933,[55 82]
125,0.3423533248670197,0.001273620500021324,1.9640564571578327,[56 82]
126,0.29334499318074425,0.001415286591315277,1.633776067248119,[59 81]
127,0.30696913016419863,0.000999328497072941,1.7717535288861295,[55 82]
128,0.298946818942941,0.0009265204049125275,1.7009365415387383,[52 80]
129,0.3283721894304685,0.001358320245255596,1.9226042881079088,[59 82]
130,0.29280530699647606,0.0009014997774837614,1.7050971621568316,[55 82]
131,0.2843905788378622,0.0013915993514104787,1.6017171246889932,[56 82]
132,0.31562234064424033,0.00011257979324206223,1.5307521580780472,[59 84]
133,0.32826054579286457,0.0013231757142056254,1.8842991991721458,[54 76]
134,0.3058971490881745,0.0010020052087442118,1.794876893373817,[55 81]
135,0.30131164438787483,0.0009755576852405894,1.6917049868163798,[54 80]
136,0.33238249312681567,0.001318894698995743,1.715694771412883,[30 61 82]
137,0.31735849216695156,0.0007663034750985419,1.7694538340396109,[51 63 82]
138,0.3329529949307491,0.0014006949063407631,1.9178845073773054,[56 81]
139,0.27219801949159295,0.0006382272331797404,1.4714560925343987,[63 84]
140,0.2954739018211882,0.0009209445424690196,1.6352496805640084,[56 85]
141,0.3147283852292098,0.0009754758409079872,1.846097086350928,[55 78]
142,0.32533274024075437,0.0013781520353654294,1.9068390369196544,[59 82]
143,0.32536013236179984,0.001170119310927345,1.8282530905763017,[59 85]
144,0.27211292629067524,0.0011485702582741647,1.5838769332296327,[56 82]
145,0.3135812192420186,0.000985049286970196,1.7911924671872554,[55 78]
146,0.33459778354363623,0.0012381033937169334,1.9994161139151214,[55 81]
147,0.2858624677948101,0.0010236821078824705,1.662784029124107,[52 81]
148,0.2837476651870578,0.0011342850581013812,1.6228765868514614,[56 82]
149,0.3012989879222955,0.0010302070973530178,1.7688481095965958,[55 82]
150,0.34289803363418314,0.00044281289364363685,1.9298110167570446,[61 82]
151,0.3520763126949727,0.0004725824035124675,1.9282818393807784,[30 59 82]
152,0.35741109134484594,0.0015464421391207222,1.9969984618842562,[58 81]
153,0.3329305972388646,0.0010004502955312305,1.9688864936768682,[56 80]
154,0.2857703612755354,0.0010200691332202323,1.702881531949299,[55 82]
155,0.2947364820938315,0.0016698453005197617,1.610704225878953,[48 58 80]
156,0.30627184607901,0.0010243388384444908,1.8056345981283077,[55 82]
157,0.32316781770301745,0.0012633820132308218,1.896535707314996,[59 82]
158,0.30481864591618024,0.0009909740206624875,1.7654053569789574,[55 82]
159,0.32830327249004576,0.0012715127954070228,1.783405185452657,[59 82]
160,0.36198372883539204,0.0003357707310599135,1.973905532829297,[30 59 82]
